"filename", "language", "YAML", "Python", "toml", "pip requirements", "Log", "JSON", "JavaScript", "HTML", "XML", "Markdown", "CSS", "comment", "blank", "total"
"e:\Programming\EliteMangaNew\Elitemanga-684ea95a36f1.json", "JSON", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"e:\Programming\EliteMangaNew\Pipfile", "toml", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 57
"e:\Programming\EliteMangaNew\Pipfile.lock", "JSON", 0, 0, 0, 0, 0, 776, 0, 0, 0, 0, 0, 0, 1, 777
"e:\Programming\EliteMangaNew\app.yaml", "YAML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 15
"e:\Programming\EliteMangaNew\backend\Manganelo\donemanga.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Programming\EliteMangaNew\backend\Manganelo\mangascraper.py", "Python", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"e:\Programming\EliteMangaNew\backend\Manganelo\scraper.py", "Python", 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 115
"e:\Programming\EliteMangaNew\backend\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Programming\EliteMangaNew\backend\admin.py", "Python", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 26, 89
"e:\Programming\EliteMangaNew\backend\apps.py", "Python", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"e:\Programming\EliteMangaNew\backend\mal\animescraper.py", "Python", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 28
"e:\Programming\EliteMangaNew\backend\mal\doneanime.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Programming\EliteMangaNew\backend\mal\scraper.py", "Python", 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 10, 115
"e:\Programming\EliteMangaNew\backend\mal\specops.py", "Python", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 44
"e:\Programming\EliteMangaNew\backend\mal\upcominganime.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Programming\EliteMangaNew\backend\migrations\0001_initial.py", "Python", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 83
"e:\Programming\EliteMangaNew\backend\migrations\0002_auto_20200414_1801.py", "Python", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 62
"e:\Programming\EliteMangaNew\backend\migrations\0003_auto_20200416_1541.py", "Python", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 29
"e:\Programming\EliteMangaNew\backend\migrations\0004_auto_20200416_1638.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"e:\Programming\EliteMangaNew\backend\migrations\0005_auto_20200416_1641.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"e:\Programming\EliteMangaNew\backend\migrations\0006_media_weekly_reads.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"e:\Programming\EliteMangaNew\backend\migrations\0007_auto_20200417_0100.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"e:\Programming\EliteMangaNew\backend\migrations\0008_auto_20200417_0103.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"e:\Programming\EliteMangaNew\backend\migrations\0009_auto_20200417_0103.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"e:\Programming\EliteMangaNew\backend\migrations\0010_media_reviewed.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"e:\Programming\EliteMangaNew\backend\migrations\0011_auto_20200421_1425.py", "Python", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 49
"e:\Programming\EliteMangaNew\backend\migrations\0012_auto_20200421_1428.py", "Python", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 24
"e:\Programming\EliteMangaNew\backend\migrations\0013_auto_20200421_1434.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"e:\Programming\EliteMangaNew\backend\migrations\0014_auto_20200421_1436.py", "Python", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 44
"e:\Programming\EliteMangaNew\backend\migrations\0015_auto_20200429_1419.py", "Python", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 23
"e:\Programming\EliteMangaNew\backend\migrations\0016_list_listsection.py", "Python", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 35
"e:\Programming\EliteMangaNew\backend\migrations\0017_auto_20200502_1451.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"e:\Programming\EliteMangaNew\backend\migrations\0018_list_image.py", "Python", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 20
"e:\Programming\EliteMangaNew\backend\migrations\0019_auto_20200509_1733.py", "Python", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 39
"e:\Programming\EliteMangaNew\backend\migrations\0020_remove_review_total_score.py", "Python", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 18
"e:\Programming\EliteMangaNew\backend\migrations\0021_auto_20200602_1431.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"e:\Programming\EliteMangaNew\backend\migrations\0022_auto_20200603_1517.py", "Python", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 24
"e:\Programming\EliteMangaNew\backend\migrations\0023_auto_20200603_1956.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
